job_title,level,tecnologies
['Senior Cybersecurity Engineer'],"['senior specialist (Senior), expert']","[['Anti-malware', 'Web Authentification', 'Penetration tests', 'Patch management', 'Vulnerability management', 'Azure', 'Exchange', 'Office 365']]"
['Lead Data Engineer'],['manager / supervisor'],"[['TypeScript', 'Go', 'Java', 'Scala', 'C++', 'C#', 'AWS', 'Apache Spark', 'Docker', 'Python']]"
['InÅ¼ynier / Analityk danych'],['specjalista (Mid / Regular)'],"[['SQL', 'Google Cloud Platform', 'BigQuery', 'Qlik Sense', 'Data Studio', 'Tableau']]"
['Lowcode Developer OutSystems'],['specialist (Mid / Regular)'],"[['HTML', 'CSS', 'JavaScript', 'SQL', 'Azure DevOps']]"
['Senior Software Development Engineer (Java+ TypeScript)'],['senior specialist (Senior)'],"[['Java', 'TypeScript']]"
['QA Engineer'],['specialist (Mid / Regular)'],"[['SQL', 'Jira', 'Confluence', 'XRay']]"
['Senior SAS Engineer'],['starszy specjalista (Senior)'],"[['SQL', 'SAS']]"
['Senior Software Development Engineer (C# / Node.js / JS / TS)'],['senior specialist (Senior)'],"[['C#', 'Node.js', 'JavaScript', 'TypeScript']]"
['T Business - InÅ¼ynier / InÅ¼ynierka Wsparcia SprzedaÅ¼y - Presales Networking'],['specjalista (Mid / Regular)'],[[]]
['Junior Mechatronics Engineer'],['trainee'],[[]]
['C# Software Engineer - Video Systems'],['specialist (Mid / Regular)'],"[['C#', 'C++']]"
['Video Analytics - Embedded Software Engineer (C++)'],['specialist (Mid / Regular)'],"[['C++', 'Python']]"
['C++ Software Engineer - Video Systems'],['specialist (Mid / Regular)'],"[['C++', 'C#', '.NET']]"
['Senior C++ Software Engineer - Video Systems'],['senior specialist (Senior)'],"[['C++', 'C#', '.NET', 'JavaScript']]"
['Go / C++ Software Engineer for Video Solutions (Avigilon Alta)'],['specialist (Mid / Regular)'],"[['C++', 'Go', 'Python']]"
