offer_id,job_title,level,technologies
49,Data engineer,specjalista (Mid / Regular),Azure Synapse Analytics
49,Data engineer,specjalista (Mid / Regular),Azure Data Lake Storage
49,Data engineer,specjalista (Mid / Regular),Azure SQL Database
49,Data engineer,specjalista (Mid / Regular),Java
49,Data engineer,specjalista (Mid / Regular),Python
49,Data engineer,specjalista (Mid / Regular),Scala
49,Data engineer,specjalista (Mid / Regular),SQL
49,Data engineer,specjalista (Mid / Regular),NoSQL
50,Dyrektor hotelu,dyrektor,
51,Specjalista / Specjalistka ds. Automatyki i Elektroniki,specjalista (Mid / Regular),
52,Pracownik / Pracowniczka Działu Obsługi Klienta i Relacji,"specjalista (Mid / Regular), młodszy specjalista (Junior)",
53,Koordynator działu sprzedaży,kierownik / koordynator,
54,Analityk / Analityczka,specjalista (Mid / Regular),
55,Rooms Division Manager (Kierownik ds. Hotelowych),menedżer,
56,BI Team Leader,kierownik / koordynator,CI/CD
57,Analityk danych,specjalista (Mid / Regular),
58,Analityk biznesowy,"starszy specjalista (Senior), ekspert",
